SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),4223 N Troy St,Chicago,IL,60618,969000,8,3,CHI - Irving Park,,,1922,1,,,Active,September-6-2025 11:00 AM,September-6-2025 01:00 PM,https://www.redfin.com/IL/Chicago/4223-N-Troy-St-60618/home/13486782,MRED as Distributed by MLS Grid,12451750,N,Y,41.9582671,-87.7066296
MLS Listing,,Single Family Residential,2418 W Pensacola Ave,Chicago,IL,60618,1350000,4,3.5,CHI - North Center,3600,3125,1898,1,375,,Active,September-6-2025 12:00 PM,September-6-2025 02:00 PM,https://www.redfin.com/IL/Chicago/2418-W-Pensacola-Ave-60618/home/13487552,MRED as Distributed by MLS Grid,12460369,N,Y,41.9606071,-87.6895518
MLS Listing,,Single Family Residential,4874 N Paulina St,Chicago,IL,60640,974900,4,3.5,Ravenswood,2748,,1891,1,355,414,Active,,,https://www.redfin.com/IL/Chicago/4874-N-Paulina-St-60640/home/197681646,MRED as Distributed by MLS Grid,12464296,N,Y,41.9710596,-87.6714654
MLS Listing,,Single Family Residential,1920 W Armitage St,Chicago,IL,60622,850000,4,2.5,CHI - Logan Square,2642,3000,1894,1,322,,Active,September-6-2025 01:00 PM,September-6-2025 03:00 PM,https://www.redfin.com/IL/Chicago/1920-W-Armitage-Ave-60622/home/13356041,MRED as Distributed by MLS Grid,12461143,N,Y,41.9179887,-87.6760725
MLS Listing,,Single Family Residential,3908 N Mozart St,Chicago,IL,60618,1395000,4,4.5,CHI - Irving Park,3600,3125,2025,7,388,,Active,,,https://www.redfin.com/IL/Chicago/3908-N-Mozart-St-60618/home/196209743,MRED as Distributed by MLS Grid,12406018,N,Y,41.9525055,-87.6997048
MLS Listing,,Single Family Residential,3634 N Mozart St,Chicago,IL,60618,949950,4,3.5,CHI - Irving Park,2544,3136,1993,4,373,,Active,September-6-2025 11:30 AM,September-6-2025 01:00 PM,https://www.redfin.com/IL/Chicago/3634-N-Mozart-St-60618/home/13452651,MRED as Distributed by MLS Grid,12459890,N,Y,41.9476887,-87.6995566
MLS Listing,,Single Family Residential,3643 N Hamlin Ave,Chicago,IL,60618,1025000,4,3.5,CHI - Irving Park,2515,5662,2011,71,408,,Active,,,https://www.redfin.com/IL/Chicago/3643-N-Hamlin-Ave-60618/home/45507183,MRED as Distributed by MLS Grid,12404109,N,Y,41.9476801,-87.7222717
MLS Listing,,Single Family Residential,2415 W Belle Plaine Ave,Chicago,IL,60618,1325000,5,4.5,CHI - North Center,3900,3125,,10,340,,Active,,,https://www.redfin.com/IL/Chicago/2415-W-Belle-Plaine-Ave-60618/home/13487741,MRED as Distributed by MLS Grid,12455988,N,Y,41.9556689,-87.6892127
MLS Listing,,Single Family Residential,4923 W Winona St,Chicago,IL,60630,599900,6,3.5,CHI - Forest Glen,3600,3750,1924,3,167,,Active,,,https://www.redfin.com/IL/Chicago/4923-W-Winona-St-60630/home/13496879,MRED as Distributed by MLS Grid,12461264,N,Y,41.9741956,-87.7514411
MLS Listing,,Single Family Residential,3621 N Richmond St,Chicago,IL,60618,999999,4,4,CHI - Irving Park,2618,3125,1901,148,382,,Active,,,https://www.redfin.com/IL/Chicago/3621-N-Richmond-St-60618/home/13452543,MRED as Distributed by MLS Grid,12335372,N,Y,41.9473252,-87.7014794
MLS Listing,,Single Family Residential,2444 W Dakin St,Chicago,IL,60618,1475000,5,4.5,CHI - North Center,4194,3050,,22,352,,Active,,,https://www.redfin.com/IL/Chicago/2444-W-Dakin-St-60618/home/13452618,MRED as Distributed by MLS Grid,12437649,N,Y,41.953284,-87.690258
MLS Listing,,Multi-Family (2-4 Unit),1753 W Cornelia Ave,Chicago,IL,60657,1425000,10,7,CHI - Lake View,,3125,,65,,,Active,,,https://www.redfin.com/IL/Chicago/1753-W-Cornelia-Ave-60657/home/182606237,MRED as Distributed by MLS Grid,12408725,N,Y,41.9449014,-87.6733115
MLS Listing,,Single Family Residential,3903 N Drake Ave,Chicago,IL,60618,1199000,5,3.5,CHI - Irving Park,4000,3750,2025,7,300,,Active,,,https://www.redfin.com/IL/Chicago/3903-N-Drake-Ave-60618/home/13456025,MRED as Distributed by MLS Grid,12458833,N,Y,41.9521922,-87.7162751
MLS Listing,,Single Family Residential,2607 W Carmen Ave,Chicago,IL,60625,1475000,5,3.5,CHI - Lincoln Square,3900,,2025,65,378,,Active,,,https://www.redfin.com/IL/Chicago/2607-W-Carmen-Ave-60625/home/195008265,MRED as Distributed by MLS Grid,12410096,N,Y,41.973616,-87.6943611
