SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,5842 N Kingsdale Ave,Chicago,IL,60646,525000,2,2.5,CHI - Forest Glen,,3210,1939,11,,,Active,,,https://www.redfin.com/IL/Chicago/5842-N-Kingsdale-Ave-60646/home/13515188,MRED as Distributed by MLS Grid,12317511,N,Y,41.9864753,-87.7448264
MLS Listing,,Single Family Residential,4249 N Central Park Ave,Chicago,IL,60618,559900,5,3.0,CHI - Irving Park,2700,4726,1908,12,207,,Active,,,https://www.redfin.com/IL/Chicago/4249-N-Central-Park-Ave-60618/home/13485245,MRED as Distributed by MLS Grid,12365111,N,Y,41.9589451,-87.7177119
MLS Listing,,Condo/Co-op,4814 N Damen Ave #201,Chicago,IL,60625,665000,3,2.0,CHI - Lincoln Square,1500,,2005,32,443,497,Active,,,https://www.redfin.com/IL/Chicago/4814-N-Damen-Ave-60625/unit-201/home/12605269,MRED as Distributed by MLS Grid,12337489,N,Y,41.9691349,-87.6794169
MLS Listing,,Other,4020 N Central Ave,Chicago,IL,60634,630000,,,CHI - Portage Park,,7660,1954,40,,,Active,,,https://www.redfin.com/IL/Chicago/4020-N-Central-Ave-60634/home/192990535,MRED as Distributed by MLS Grid,12339872,N,Y,41.9539183,-87.7673989
MLS Listing,,Single Family Residential,4855 N Mason Ave,Chicago,IL,60630,485000,4,2.0,CHI - Jefferson Park,1550,5000,1926,2,313,,Active,,,https://www.redfin.com/IL/Chicago/4855-N-Mason-Ave-60630/home/13500543,MRED as Distributed by MLS Grid,12374454,N,Y,41.9691719,-87.7768291
MLS Listing,,Townhouse,3828 N Wilton Ave,Chicago,IL,60613,700000,3,2.5,CHI - Lake View,,1554,1886,3,,,Active,,,https://www.redfin.com/IL/Chicago/3828-N-Wilton-Ave-60613/home/13383814,MRED as Distributed by MLS Grid,12374304,N,Y,41.95209,-87.6534082
MLS Listing,,Single Family Residential,2062 W Belle Plaine Ave,Chicago,IL,60618,725000,4,3.0,CHI - North Center,1152,136125000,1889,3,629,,Active,,,https://www.redfin.com/IL/Chicago/2062-W-Belle-Plaine-Ave-60618/home/13389898,MRED as Distributed by MLS Grid,12373767,N,Y,41.956152,-87.6813098
MLS Listing,,Single Family Residential,4634 N Hamlin Ave,Chicago,IL,60625,550000,5,2.0,CHI - Albany Park,2016,3125,,3,273,,Active,,,https://www.redfin.com/IL/Chicago/4634-N-Hamlin-Ave-60625/home/13485765,MRED as Distributed by MLS Grid,12372850,N,Y,41.9657454,-87.7233317
MLS Listing,,Multi-Family (2-4 Unit),5006 W Sunnyside Ave,Chicago,IL,60630,599000,6,2.0,CHI - Portage Park,,3780,,3,,,Active,,,https://www.redfin.com/IL/Chicago/5006-W-Sunnyside-Ave-60630/home/195898234,MRED as Distributed by MLS Grid,12373914,N,Y,41.9627241,-87.7528817
MLS Listing,,Condo/Co-op,1800 W Roscoe St #432,Chicago,IL,60657,450000,2,1.0,CHI - North Center,1200,,1919,3,375,517,Active,,,https://www.redfin.com/IL/Chicago/1800-W-Roscoe-St-60657/unit-432/home/13386766,MRED as Distributed by MLS Grid,12369290,N,Y,41.9434833,-87.6747892
MLS Listing,,Condo/Co-op,4150 N Kenmore Ave #206,Chicago,IL,60613,475000,2,2.0,CHI - Uptown,1066,,2008,3,446,315,Active,May-31-2025 01:00 PM,May-31-2025 04:00 PM,https://www.redfin.com/IL/Chicago/4150-N-Kenmore-Ave-60613/unit-206/home/12993606,MRED as Distributed by MLS Grid,12352127,N,Y,41.9580257,-87.6564946
MLS Listing,,Condo/Co-op,3530 N Lake Shore Dr Unit 12B,Chicago,IL,60657,614000,2,2.0,CHI - Lake View,2000,,1924,3,307,2004,Active,,,https://www.redfin.com/IL/Chicago/3530-N-Lake-Shore-Dr-60657/unit-12B/home/13377561,MRED as Distributed by MLS Grid,12373631,N,Y,41.9472359,-87.643085
MLS Listing,,Single Family Residential,4345 N Mcvicker Ave,Chicago,IL,60634,589900,4,2.5,CHI - Portage Park,1822,,1929,3,324,,Active,,,https://www.redfin.com/IL/Chicago/4345-N-McVicker-Ave-60634/home/13473797,MRED as Distributed by MLS Grid,12370864,N,Y,41.9598255,-87.7779478
MLS Listing,,Multi-Family (2-4 Unit),4510 N Menard Ave,Chicago,IL,60630,599500,6,3.0,CHI - Portage Park,,3484,1927,4,,,Active,,,https://www.redfin.com/IL/Chicago/4510-N-Menard-Ave-60630/home/13475423,MRED as Distributed by MLS Grid,12364637,N,Y,41.9626363,-87.7724963
MLS Listing,,Multi-Family (2-4 Unit),5639 W Montrose Ave,Chicago,IL,60634,875000,6,4.5,CHI - Portage Park,,7500,1976,4,,,Active,,,https://www.redfin.com/IL/Chicago/5639-W-Montrose-Ave-60634/home/195886842,MRED as Distributed by MLS Grid,12372167,N,Y,41.9602206,-87.7688345
MLS Listing,,Single Family Residential,5319 W Cullom Ave,Chicago,IL,60641,805000,5,4.0,CHI - Portage Park,3458,3750,1928,4,233,,Active,,,https://www.redfin.com/IL/Chicago/5319-W-Cullom-Ave-60641/home/13478517,MRED as Distributed by MLS Grid,12372004,N,Y,41.9585427,-87.7606271
MLS Listing,,Condo/Co-op,934 W Cuyler Ave Unit 2D,Chicago,IL,60613,460000,2,2.0,CHI - Uptown,1200,,2006,4,383,393,Active,,,https://www.redfin.com/IL/Chicago/934-W-Cuyler-Ave-60613/unit-2D/home/12596903,MRED as Distributed by MLS Grid,12360852,N,Y,41.9558133,-87.6525287
MLS Listing,,Multi-Family (2-4 Unit),5028 N Sawyer Ave,Chicago,IL,60625,610000,5,2.0,CHI - Albany Park,,,1916,5,,,Active,,,https://www.redfin.com/IL/Chicago/5028-N-Sawyer-Ave-60625/home/13493548,MRED as Distributed by MLS Grid,12372332,N,Y,41.9729596,-87.7100984
MLS Listing,,Single Family Residential,3856 N Kenneth Ave,Chicago,IL,60641,650000,3,1.5,CHI - Irving Park,,7500,1893,5,,,Active,,,https://www.redfin.com/IL/Chicago/3856-N-Kenneth-Ave-60641/home/13459543,MRED as Distributed by MLS Grid,12372239,N,Y,41.9515608,-87.7398579
MLS Listing,,Townhouse,3447 N Whipple St,Chicago,IL,60618,825000,4,3.5,CHI - Avondale,,,2007,5,,302,Active,,,https://www.redfin.com/IL/Chicago/3447-N-Whipple-St-60618/home/26805854,MRED as Distributed by MLS Grid,12367326,N,Y,41.9443053,-87.7038355
MLS Listing,,Multi-Family (2-4 Unit),5202 W Winona St,Chicago,IL,60630,589900,4,3.0,Jefferson Park Place,,3175,1927,5,,,Active,,,https://www.redfin.com/IL/Chicago/5202-W-Winona-St-60630/home/13496681,MRED as Distributed by MLS Grid,12368638,N,Y,41.9745141,-87.7580327
MLS Listing,,Multi-Family (2-4 Unit),5712 N Meade Ave,Chicago,IL,60646,649000,6,3.5,CHI - Norwood Park,,3690,1938,5,,,Active,,,https://www.redfin.com/IL/Chicago/5712-N-Meade-Ave-60646/home/13510327,MRED as Distributed by MLS Grid,12371887,N,Y,41.9851826,-87.780672
MLS Listing,,Condo/Co-op,645 W Bittersweet Pl #1,Chicago,IL,60613,645000,3,2.0,CHI - Uptown,1650,,1912,5,391,375,Active,,,https://www.redfin.com/IL/Chicago/645-W-Bittersweet-Pl-60613/unit-1/home/26807820,MRED as Distributed by MLS Grid,12371782,N,Y,41.9554629,-87.6468967
MLS Listing,,Single Family Residential,3915 N Kenneth Ave,Chicago,IL,60641,695000,5,3.5,CHI - Irving Park,3477,4978,1907,5,200,,Active,,,https://www.redfin.com/IL/Chicago/3915-N-Kenneth-Ave-60641/home/13459949,MRED as Distributed by MLS Grid,12332996,N,Y,41.9522437,-87.7389511
MLS Listing,,Single Family Residential,6100 W Byron St,Chicago,IL,60634,594900,4,3.0,CHI - Dunning,2679,4305,1923,5,222,,Active,,,https://www.redfin.com/IL/Chicago/6100-W-Byron-St-60634/home/13467352,MRED as Distributed by MLS Grid,12371691,N,Y,41.9513751,-87.7793375
MLS Listing,,Single Family Residential,5351 N Kimball Ave,Chicago,IL,60625,480000,6,4.0,CHI - North Park,2376,3750,1916,5,202,,Active,,,https://www.redfin.com/IL/Chicago/5351-N-Kimball-Ave-60625/home/13493943,MRED as Distributed by MLS Grid,12369326,N,Y,41.9790239,-87.7133675
MLS Listing,,Single Family Residential,3311 W Belle Plaine Ave,Chicago,IL,60618,869000,4,3.5,CHI - Irving Park,3000,,1912,5,290,,Active,,,https://www.redfin.com/IL/Chicago/3311-W-Belle-Plaine-Ave-60618/home/13483140,MRED as Distributed by MLS Grid,12369922,N,Y,41.955569,-87.7110426
